
Id:  0 
Winner:  1566 
Target:  0 
Solution:  38722988 
Votes:  1/1
Wallets: 1566:1  

Id:  1 
Winner:  1566 
Target:  38722988 
Solution:  82781454 
Votes:  3/3
Wallets: 1566:2  1565:0  1567:0  

Id:  2 
Winner:  1567 
Target:  82781454 
Solution:  59403743 
Votes:  3/3
Wallets: 1566:2  1565:0  1567:1  

Id:  3 
Winner:  1566 
Target:  59403743 
Solution:  44638907 
Votes:  3/3
Wallets: 1566:3  1565:0  1567:1  

Id:  4 
Winner:  1567 
Target:  44638907 
Solution:  98780967 
Votes:  3/3
Wallets: 1566:3  1565:0  1567:2  

Id:  5 
Winner:  1566 
Target:  98780967 
Solution:  49574592 
Votes:  3/3
Wallets: 1566:4  1565:0  1567:2  

Id:  6 
Winner:  1567 
Target:  49574592 
Solution:  16391022 
Votes:  3/3
Wallets: 1566:4  1565:0  1567:3  

Id:  7 
Winner:  1566 
Target:  16391022 
Solution:  41194344 
Votes:  3/3
Wallets: 1566:5  1565:0  1567:3  

Id:  8 
Winner:  1566 
Target:  41194344 
Solution:  61259182 
Votes:  3/3
Wallets: 1566:6  1565:0  1567:3  

Id:  9 
Winner:  1567 
Target:  61259182 
Solution:  18852291 
Votes:  3/3
Wallets: 1566:6  1565:0  1567:4  

Id:  10 
Winner:  1567 
Target:  18852291 
Solution:  74660642 
Votes:  3/3
Wallets: 1566:6  1565:0  1567:5  

Id:  11 
Winner:  1567 
Target:  74660642 
Solution:  59894312 
Votes:  3/3
Wallets: 1566:6  1565:0  1567:6  

Id:  12 
Winner:  1565 
Target:  59894312 
Solution:  55978326 
Votes:  3/3
Wallets: 1566:6  1565:1  1567:6  

Id:  13 
Winner:  1567 
Target:  55978326 
Solution:  18633092 
Votes:  3/3
Wallets: 1566:6  1565:1  1567:7  

Id:  14 
Winner:  1566 
Target:  18633092 
Solution:  61031588 
Votes:  3/3
Wallets: 1566:7  1565:1  1567:7  

Id:  15 
Winner:  1567 
Target:  61031588 
Solution:  64519942 
Votes:  3/3
Wallets: 1566:7  1565:1  1567:8  

Id:  16 
Winner:  1567 
Target:  64519942 
Solution:  64076854 
Votes:  3/3
Wallets: 1566:7  1565:1  1567:9  

Id:  17 
Winner:  1566 
Target:  64076854 
Solution:  3955668 
Votes:  3/3
Wallets: 1566:8  1565:1  1567:9  

Id:  18 
Winner:  1565 
Target:  3955668 
Solution:  27818400 
Votes:  3/3
Wallets: 1566:8  1565:2  1567:9  

Id:  19 
Winner:  1567 
Target:  27818400 
Solution:  53980520 
Votes:  3/3
Wallets: 1566:8  1565:2  1567:10  

Id:  20 
Winner:  1566 
Target:  53980520 
Solution:  85287223 
Votes:  3/3
Wallets: 1566:9  1565:2  1567:10  

Id:  21 
Winner:  1567 
Target:  85287223 
Solution:  36675415 
Votes:  3/3
Wallets: 1566:9  1565:2  1567:11  

Id:  22 
Winner:  1565 
Target:  36675415 
Solution:  55165943 
Votes:  3/3
Wallets: 1566:9  1565:3  1567:11  

Id:  23 
Winner:  1567 
Target:  55165943 
Solution:  73337952 
Votes:  3/3
Wallets: 1566:9  1565:3  1567:12  

Id:  24 
Winner:  1565 
Target:  73337952 
Solution:  55485482 
Votes:  3/3
Wallets: 1566:9  1565:4  1567:12  

Id:  25 
Winner:  1567 
Target:  55485482 
Solution:  77917774 
Votes:  3/3
Wallets: 1566:9  1565:4  1567:13  

Id:  26 
Winner:  1567 
Target:  77917774 
Solution:  93044524 
Votes:  3/3
Wallets: 1566:9  1565:4  1567:14  

Id:  27 
Winner:  1566 
